Matalan selvityksen tiedot,seuraava määränpää,nopeusrajoitus,varoitus tien varresta
Lentokenttä,kiitotie,tulli,telakka
Vaihtoehtoinen reitti raskaille hyötyajoneuvoille,vain raskasajoneuvoille,oikea kaista raskaille tavarankuljetusajoneuvoille,raskaan tavarankuljetuksen tulli
Cul-De-Sac Ahead,T-Junction Ahead,Crossroads Ahead,umpikuja eteenpäin
Kohdetiedot,moottoritietiedot,kansalliset tietiedot,alueelliset tietiedot
Vain vammaisille tarkoitettu pysäköinti,pääsy pyörätuolilla,ei pääsyä pyörätuolille,monikäyttöinen pysäköinti
Lautta eteenpäin,vain autot ja kuorma-autot,vain kaupalliset veneet,hyötyajoneuvojen tulli edessä
Sairaala eteenpäin,Helipad eteenpäin,Korkeusrajoitukset eteenpäin,H-liitos eteenpäin
Moottoritietiedot,Alueelliset tietiedot,Valtatietiedot,Kaupunkitietiedot
Valtatietiedot,moottoritietiedot,alueelliset tietiedot,kaupunkitietiedot
Alueelliset tietiedot,moottoritietiedot,kaupunkitietiedot,kansalliset tietiedot
Alueelliset tietiedot,Kaupunkitietiedot,Moottoritietiedot,Valtatietiedot
SOS-asettelu,pysäköinti- ja puhelinkoppi,edeltävät hätäpalvelut,vain hätäpalvelujen pysäköinti
Kaupunki-tai kylätiedot,katutiedot,aluetiedot,läänitiedot
Liikenteen rauhoittaminen,nopeusrajoitus,jalankulkijoiden ylitys eteenpäin,kaupungin tai kylän tiedot
100m moottoritielle,100m moottoritien sisäänkäynnille,100m moottoritielle,tie laskee oikealle
200m moottoritielle,200m moottoritien sisäänkäynnille,200m moottoritielle,tie laskee oikealle
300m moottoritien liittymälle,300m moottoritien sisäänkäynnille,300m moottoritielle,Road Dipit oikealle
Kohteen suunta,kaistanvaihto,kaupunkitiedot,aluetiedot
Edistynyt määränpään suunta,edistynyt kaistanvaihto,edistyneet kaupunkitiedot,edistyneet aluetiedot
Moottoritien sisäänkäynti eteenpäin,moottoritien silta eteenpäin,matala silta edessä,kaistojen määrä edessä
Edistynyt moottoritien sisäänkäynti,edistynyt alueellinen tieto,edistynyt kansallinen tieto,edistynyt tietiedot
Moottoritie päättyy,ei moottoritietä eteenpäin,monikaistainen päättyy,ei monikaistaa 1 km: n kohdalla
Moottoritie päättyy,ei moottoritietä eteenpäin,monikaistainen päättyy,ei monikaistaa 500 metrille
Reitin vahvistus,alueelliset tiedot,kansalliset tiedot,monialueiden vahvistus
Bussikaista vasemmalla,vain pyörätie,vain bussikaista,pyörä- ja raitiovaunukaista
Vain bussit,ei busseja,ei tie edessä,bussikeskus eteenpäin
Clearway,Ei pääsyä,Yksityinen omaisuus,Keskeneräinen merkki
Levypysäköinti,lailliset pysäköintitunnit,älä pysäköi tiettyinä aikoina,toiminta-alue nimettyinä päivinä
Vaihdettava nopeusrajoitusalue,30km/h alue,koulun ylitysalue,vaihdettava koulubussi nopeuden rajoitus
Vaihdettava tunnelin nopeusrajoitus,80km/h nopeuden rajoitus,80km/h tunnelin nopeuden rajoitus,vaihdettava nopeuden rajoitus
Pyörän kaistan loppu,Pyörän kaistan alku,Vain polkupyörät,Pyörän pysäköinti kaistan päässä
Raskaan hyötyajoneuvon pysäköintirajoituksen loppu,ei raskasajoneuvon pysäköintiä,raskaan hyötyajoneuvon sisäänpääsyn rajoituksen loppu,vain raskasajoneuvon alue
Korkeusrajoitus,vähimmäiskorkeuden rajoitus,varoitus tulvatasosta,ajoneuvon pituuden rajoitus
