Informatie over lage zuiverheid,volgende bestemming,maximumsnelheid,verkeerswaarschuwing
Luchthaven,landingsbaan,douane,scheepswerf
Alternatieve route voor vrachtwagens,alleen vrachtwagens,rechter rijstrook voor vrachtwagens,douane voor vrachtwagens
Cul-De-Sac Ahead,T-Junction Ahead,Crossroads Ahead,Dead End Ahead
Bestemmingsinformatie,snelweginformatie,nationale wegeninformatie,regionale wegeninformatie
Alleen invalidenparkeerplaats,Rolstoeltoegang beschikbaar,Geen rolstoeltoegang,Multifunctionele parkeerplaats
Veerboot vooruit,alleen auto's en vrachtwagens,alleen commerciële boten,douane voor commerciële voertuigen vooruit
Ziekenhuis vooruit,helikopterplatform vooruit,hoogtebeperking vooruit,H-splitsing vooruit
Snelweginformatie,Regionale wegeninformatie,Nationale wegeninformatie,Stadsweginformatie
Nationale wegeninformatie,snelweginformatie,regionale wegeninformatie,stadswegeninformatie
Regionale wegeninformatie,snelweginformatie,stadswegeninformatie,nationale wegeninformatie
Regionale wegeninformatie,stads- wegeninformatie,snelweginformatie,nationale wegeninformatie
SOS Lay-By,Parking & Phone Booth,Emergency Services Ahead,Emergency Services Parking Only
Stads- of dorpsinformatie,straatinformatie,regionale informatie,districtsinformatie
Verkeer kalmerend,snelheidsbeperking,voetgangersoversteekplaats vooruit,stad of dorp informatie
100 m naar afrit snelweg,100 m naar oprit snelweg,100 m naar snelweg,wegdalingen naar rechts
200M naar afrit van de snelweg,200M naar de ingang van de snelweg,200M naar de snelweg,wegdalingen naar rechts
300 m naar afrit snelweg,300 m naar oprit snelweg,300 m naar snelweg,wegdalingen naar rechts
Richting van bestemming,verandering van rijstrook,stadsinformatie,regio-informatie
Geavanceerde bestemmingsrichting,Geavanceerde rijstrookwijziging,Geavanceerde stadinformatie,Geavanceerde regio-informatie
Oprit van de snelweg verderop,brug over de snelweg verderop,lage brug vooruit,aantal rijstroken verderop
Geavanceerde snelwegoprit verderop,geavanceerde regionale informatie,geavanceerde nationale informatie,geavanceerde weginformatie
Snelweguiteinden,geen snelweg verderop,meerdere rijstroken,geen meerdere rijstroken voor 1 km
Snelweguiteinden,geen snelweg verderop,meerdere rijstroken,geen meerdere rijstroken voor 500 meter
Routebevestiging,regionale informatie,nationale informatie,bevestiging voor meerdere regio's
Busbaan aan de linkerkant,alleen fietspad,alleen busbaan,fiets- en trambaan
Alleen bussen,geen bussen,geen weg vooruit,buscentrum verderop
Clearway,geen toegang,privébezit,onvoltooid bord
Schijfparkeren,wettelijke parkeertijden,niet parkeren tijdens specifieke tijden,gebied in gebruik tijdens bepaalde datums
Veranderlijk snelheidslimietgebied,30 km / u gebied,schooloversteekplaats,veranderlijke schoolbus snelheidslimiet
Veranderlijke tunnel snelheidslimiet,80 km / u snelheidslimiet,80 km / u tunnel snelheidslimiet,veranderlijke snelheidslimiet
Einde van fietspad,start van fietspad,alleen fietsen,fietsenstalling aan einde van rijstrook
Einde van parkeerbeperking voor vrachtwagens,geen parkeerplaats voor vrachtwagens,einde van inreisbeperking voor vrachtwagens,zone voor alleen vrachtwagens
Hoogte beperking,minimale hoogte beperking,overstromingsniveau waarschuwing,voertuiglengte beperking
Rechter rijstrook - geen inhalen van vrachtwagens,geen vrachtwagens voorbij dit punt,afwerkingen rechter rijstrook,aslimiet voor vrachtwagens
Max. Snelheidslimiet,minimale snelheidslimiet,30 km verderop,geen parkeergelegenheid voor 30 km
Max. Snelheidslimiet,minimale snelheidslimiet,120 km verderop,geen parkeergelegenheid voor 120 km
Geen voetgangers vooruit,negeer voetgangers vooruit,voetgangers hebben geen rechten vooruit,geen voetgangers zullen vooruit zijn
Geen toegang tot voertuigen met een groter aantal assen,geen toegang tot voertuigen met een lager aantal assen,drievoudige barrière vooruit,drievoudige controlepunten vooruit
